X,Y,distance,id,wys,height
707237.1318496865,5713879.4831835795,27.156411000000009,27,"9,998853654",9.999
707236.84845498507,5713880.4482260663,28.162204000000010,28,"10,00543646",10.005
707236.56506028376,5713881.4132685531,29.167997000000010,29,"10,01201926",10.012
707236.28166558244,5713882.3783110408,30.173790000000011,30,"10,03176766",10.032
707235.99827088101,5713883.3433535285,31.179583000000012,31,"10,04493327",10.045
707235.71487617958,5713884.3083960144,32.185376000000012,32,"10,05151607",10.052
707235.43148147827,5713885.2734385021,33.191169000000009,33,"10,05809887",10.058
707235.14808677684,5713886.2384809889,34.196962000000006,34,"10,07126448",10.071
707234.86469207541,5713887.2035234766,35.202755000000003,35,"10,08443008",10.084
707234.58129737398,5713888.1685659634,36.208548000000000,36,"10,08443008",10.084
707234.39198340196,5713889.1539765447,37.214340999999997,37,"10,09759569",10.098
707234.25085452059,5713890.1498190016,38.220133999999995,38,"10,10417849",10.104
707234.10972563899,5713891.1456614565,39.225926999999992,39,"10,11076129",10.111
707233.96859675762,5713892.1415039133,40.231719999999989,40,"10,12392689",10.124
707233.82746787625,5713893.1373463701,41.237512999999986,41,"10,1305097",10.131
707233.68633899477,5713894.1331888251,42.243305999999983,42,"10,1370925",10.137
707233.70796044485,5713895.1270552771,43.249098999999980,43,"10,1436753",10.144
707233.87322585075,5713896.1191777028,44.254891999999977,44,"10,1502581",10.150
707234.03849125665,5713897.1113001257,45.260684999999974,45,"10,1502581",10.150
707234.20375666255,5713898.1034225505,46.266477999999971,46,"10,16342371",10.163
707234.36902206833,5713899.0955449743,47.272270999999968,47,"10,16342371",10.163
707234.53428747435,5713900.0876673982,48.278063999999965,48,"10,17000651",10.170
707234.8806902623,5713901.0157473302,49.283856999999962,49,"10,1568409",10.157
707235.3757450009,5713901.8912702389,50.289649999999959,50,"10,1502581",10.150
707235.8707997395,5713902.7667931486,51.295442999999956,51,"10,1370925",10.137
707236.36585447821,5713903.6423160583,52.301235999999953,52,"10,1370925",10.137
707236.86090921669,5713904.517838967,53.307028999999950,53,"10,1370925",10.137
707237.3559639554,5713905.3933618767,54.312821999999947,54,"10,12392689",10.124
707237.94831604336,5713906.1979092564,55.318614999999944,55,"10,11734409",10.117
707238.63083990244,5713906.9366790038,56.324407999999941,56,"10,11076129",10.111
707239.31336376164,5713907.6754487529,57.330200999999938,57,"10,09759569",10.098
707239.99588762072,5713908.4142185003,58.335993999999936,58,"10,08443008",10.084
707240.67841147981,5713909.1529882476,59.341786999999933,59,"10,08443008",10.084
707241.39444941841,5713909.8483903827,60.347579999999930,60,"10,07784728",10.078
707242.28146482876,5713910.3225456523,61.353372999999927,61,"10,06468167",10.065
707243.16848023911,5713910.7967009237,62.359165999999924,62,"10,05151607",10.052
707244.05549564958,5713911.2708561942,63.364958999999921,63,"10,03835047",10.038
707244.94251105981,5713911.7450114647,64.370751999999925,64,"10,02518486",10.025
707245.82952647028,5713912.2191667352,65.376544999999922,65,"9,998853654",9.999
707246.71654188063,5713912.6933220057,66.382337999999919,66,"9,985688049",9.986
707247.60355729098,5713913.1674772762,67.388130999999916,67,"9,972522445",9.973
